sr,name,docstatus,item_code,item_name,warehouse,creation,modified,_user_tags
94,48575443C551EBAA,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-09 14:28:59.647870,2025-06-23 13:46:34.160470,
95,48575443C4ABCBAA,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-09 14:28:59.530452,2025-06-23 13:46:34.142225,
96,48575443C14448AF,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-23 13:43:32.297747,2025-06-23 13:46:34.127017,
97,48575443C13F9BAF,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-23 13:43:32.526701,2025-06-23 13:46:34.109852,
98,48575443BD91E1AF,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-23 13:43:32.211425,2025-06-23 13:46:34.092529,
99,48575443B13E69B0,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-23 13:43:32.582384,2025-06-23 13:46:34.077380,
100,48575443A71888AE,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-23 13:43:32.355495,2025-06-23 13:46:34.059839,
101,48575443A71355AE,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-23 13:43:32.184229,2025-06-23 13:46:34.042249,
102,485754439846BFB0,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-23 13:43:32.103083,2025-06-23 13:46:34.027179,
103,4857544395D0DBB0,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-23 13:43:32.609431,2025-06-23 13:46:34.008192,
104,48575443670023AA,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-23 13:43:32.689971,2025-06-23 13:46:33.989730,
105,4857544361FDB9AC,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-09 14:28:59.553479,2025-06-23 13:46:33.972320,
106,4857544358784DAC,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-09 14:28:59.507484,2025-06-23 13:46:33.954834,
107,48575443484171B0,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-23 13:43:32.661645,2025-06-23 13:46:33.936896,
108,48575443130EAFAF,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-23 13:43:32.381895,2025-06-23 13:46:33.919735,
109,4857544312FDE8AF,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-23 13:43:32.238555,2025-06-23 13:46:33.895486,
110,FZ324060107001,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:22:06.994883,2025-06-23 13:33:32.869365,
111,FZ324060106997,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:22:06.968655,2025-06-23 13:33:32.851800,
112,FZ324060106996,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:22:06.942846,2025-06-23 13:33:32.833826,
113,FZ324060106982,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:22:06.918767,2025-06-23 13:33:32.815843,
114,FZ324060106953,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:22:06.893080,2025-06-23 13:33:32.797796,
115,FZ324060106944,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:22:06.866215,2025-06-23 13:33:32.781206,
116,FZ324060106917,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:22:06.840002,2025-06-23 13:33:32.762557,
117,FZ324060106904,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:22:06.808567,2025-06-23 13:33:32.744618,
118,FZ324060106866,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:22:06.779182,2025-06-23 13:33:32.728432,
119,FZ324060106758,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:22:06.745749,2025-06-23 13:33:32.709544,
120,FZ324060106027,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:22:06.718194,2025-06-23 13:33:32.691201,
121,FZ324060105970,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:22:06.689398,2025-06-23 13:33:32.673910,
122,FZ324060105969,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:22:06.659473,2025-06-23 13:33:32.654973,
123,FZ324060105964,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:22:06.631916,2025-06-23 13:33:32.636148,
124,FZ324060105959,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:22:06.604874,2025-06-23 13:33:32.618042,
125,FZ324060105939,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:22:06.578286,2025-06-23 13:33:32.599823,
